,precio,hab,baño,aseo,superficie,fecha_constr,planta,lavadero,trastero,terraza,calefaccion,parking,acc,ascensor,reforma
290,647000,2,2.0,0.0,103,1936.0,4.0,1,0,4.0,1,0,1,1,1
291,430000,3,2.0,0.0,101,1972.0,1.0,0,0,0.0,1,0,0,1,0
292,445000,3,2.0,0.0,101,1972.0,2.0,1,0,6.0,0,0,0,1,0
294,375000,2,1.0,0.0,70,2007.0,6.0,0,0,0.0,1,0,1,1,0
297,990000,5,2.0,0.0,243,1920.0,4.0,0,0,0.0,1,0,1,1,0
298,560000,3,2.0,0.0,129,1892.0,2.0,0,1,0.0,1,0,1,1,1
303,485000,4,2.0,0.0,115,1936.0,4.0,0,0,0.0,1,0,1,0,1
304,1250000,3,2.0,1.0,170,1900.0,5.0,0,0,15.0,1,0,1,1,1
305,375000,3,1.0,1.0,85,1973.0,5.0,1,0,0.0,1,0,0,0,1
306,950000,6,2.0,0.0,305,1945.0,2.0,0,0,0.0,1,0,1,1,1
307,1390000,4,4.0,0.0,220,1900.0,6.0,1,0,80.0,1,0,1,1,0
308,978000,10,2.0,0.0,262,1918.0,3.0,0,0,0.0,1,0,0,1,0
310,430000,3,2.0,0.0,101,1972.0,1.0,0,0,6.0,1,0,1,1,0
312,445000,3,1.0,0.0,109,1890.0,2.0,0,0,0.0,1,0,1,1,1
313,445000,3,2.0,0.0,101,1972.0,2.0,0,0,0.0,1,0,0,1,0
314,499000,3,2.0,0.0,126,1900.0,4.0,0,0,0.0,0,0,1,1,0
318,430000,3,2.0,0.0,101,1972.0,2.0,0,0,0.0,1,0,0,1,0
321,430000,3,2.0,0.0,96,1972.0,2.0,1,0,5.0,1,0,1,1,0
322,950000,3,2.0,0.0,108,1898.0,6.0,1,1,63.0,1,1,1,0,0
324,1345000,4,2.0,0.0,146,1876.0,1.0,0,0,0.0,1,0,1,1,0
326,349000,3,1.0,0.0,100,1966.0,2.0,1,0,0.0,1,0,0,1,0
327,360000,3,2.0,0.0,107,1962.0,5.0,1,0,0.0,1,0,1,1,1
328,485000,4,2.0,0.0,115,1936.0,5.0,0,0,0.0,0,0,1,1,0
329,425000,3,2.0,0.0,76,1973.0,4.0,1,0,0.0,0,0,1,1,1
330,835000,5,2.0,0.0,157,1970.0,3.0,0,0,0.0,1,0,0,1,1
331,525000,4,1.0,1.0,124,1910.0,1.0,0,1,0.0,1,0,1,1,0
332,590000,2,2.0,0.0,63,2020.0,2.0,0,0,2.0,1,1,1,1,0
333,1600000,3,3.0,0.0,179,1900.0,4.0,0,0,0.0,1,0,1,1,1
334,425000,3,1.0,1.0,76,1973.0,4.0,1,0,0.0,1,0,1,1,1
336,1400000,6,4.0,0.0,270,1940.0,4.0,0,1,20.0,0,1,1,1,0
338,365000,4,1.0,1.0,89,1936.0,4.0,0,0,0.0,0,0,0,1,0
339,875000,6,2.0,0.0,218,1936.0,1.0,1,0,0.0,1,0,0,1,1
341,995000,5,2.0,0.0,150,1895.0,3.0,1,1,0.0,1,0,1,1,0
342,995000,5,2.0,0.0,150,1895.0,3.0,1,1,0.0,1,0,1,1,0
343,450000,2,2.0,0.0,74,2002.0,2.0,0,0,0.0,1,1,1,1,1
345,1495000,5,2.0,0.0,227,1903.0,3.0,0,1,8.0,1,0,1,1,0
346,859000,5,2.0,0.0,205,1920.0,2.0,1,1,0.0,1,0,1,1,1
349,460000,4,2.0,0.0,90,1930.0,4.0,1,1,0.0,0,0,0,1,1
352,430000,3,2.0,0.0,101,1972.0,1.0,1,0,0.0,1,0,0,1,0
353,730000,4,2.0,1.0,150,1930.0,3.0,0,1,0.0,1,0,1,1,1
355,2750000,4,3.0,1.0,231,1988.0,3.0,1,0,0.0,1,1,1,1,0
357,990000,4,2.0,0.0,175,1900.0,3.0,1,0,0.0,1,0,0,1,0
360,359000,3,2.0,0.0,82,1973.0,1.0,0,0,75.0,1,0,1,1,1
361,978000,10,2.0,0.0,252,1918.0,4.0,0,1,0.0,1,0,1,1,0
363,1700000,6,3.0,0.0,290,1920.0,8.0,1,0,0.0,1,1,1,1,1
365,750000,2,2.0,0.0,95,2005.0,1.0,0,1,0.0,1,1,1,1,0
367,285000,2,1.0,0.0,75,1936.0,1.0,1,1,0.0,1,0,1,1,1
368,571500,5,2.0,0.0,160,1930.0,5.0,1,1,2.0,1,0,1,1,1
371,685750,3,2.0,0.0,106,1930.0,1.0,1,0,14.0,1,0,0,1,0
372,445000,3,2.0,0.0,96,1972.0,1.0,1,0,0.0,1,0,1,1,0
375,290000,3,1.0,0.0,83,1974.0,1.0,1,0,0.0,0,0,0,1,0
377,355000,4,1.0,0.0,90,1936.0,3.0,0,1,10.0,1,0,0,1,1
378,790000,2,2.0,0.0,79,1920.0,1.0,0,0,0.0,1,0,1,0,0
383,995000,3,2.0,0.0,161,2020.0,1.0,0,0,15.0,0,0,1,0,1
385,499000,3,2.0,0.0,115,1985.0,5.0,1,0,8.0,1,0,1,1,1
388,1530000,3,3.0,1.0,199,1900.0,3.0,1,0,0.0,1,0,1,1,1
389,1830000,3,2.0,1.0,203,1930.0,5.0,1,1,12.0,1,0,1,1,0
390,425000,2,1.0,0.0,100,1900.0,7.0,1,1,0.0,1,0,1,1,0
393,849000,5,2.0,0.0,200,1950.0,2.0,0,0,0.0,1,0,0,1,1
395,949000,7,2.0,0.0,304,1945.0,3.0,0,0,0.0,0,0,0,0,0
397,370000,4,1.0,0.0,83,1969.0,4.0,0,0,0.0,1,0,1,1,1
398,470000,2,2.0,0.0,98,1977.0,1.0,1,0,0.0,1,0,0,1,1
402,380000,3,1.0,0.0,83,1969.0,4.0,0,0,0.0,1,0,1,1,1
403,900000,6,2.0,1.0,218,1936.0,1.0,1,1,30.0,1,0,1,1,0
405,318000,2,1.0,0.0,69,1970.0,2.0,0,1,0.0,1,0,1,1,0
411,965000,3,2.0,0.0,168,1940.0,1.0,0,0,50.0,1,1,1,1,0
418,492000,3,2.0,0.0,115,1980.0,5.0,1,0,5.0,1,0,1,1,1
419,1530000,3,3.0,1.0,199,1900.0,3.0,1,0,0.0,1,0,1,1,1
420,685750,3,2.0,0.0,105,1930.0,1.0,0,0,13.0,1,0,0,0,0
423,920000,3,2.0,0.0,180,1965.0,2.0,0,0,9.0,1,0,1,1,0
427,445000,3,1.0,0.0,109,1890.0,2.0,0,0,0.0,0,0,0,1,1
428,687000,4,2.0,0.0,183,1900.0,5.0,0,0,0.0,1,0,1,1,1
439,2300000,3,2.0,1.0,156,1998.0,1.0,0,0,30.0,0,0,1,1,0
440,680000,7,1.0,1.0,200,1900.0,1.0,0,0,0.0,0,0,0,1,0
442,450000,2,1.0,0.0,130,1954.0,1.0,1,0,3.0,1,0,1,1,1
445,895000,2,2.0,0.0,96,1900.0,2.0,0,1,0.0,1,0,1,1,0
453,571500,5,2.0,0.0,160,1930.0,6.0,0,1,0.0,1,0,1,1,1
454,368000,2,1.0,0.0,82,1963.0,2.0,1,0,0.0,1,0,0,1,0
455,990000,5,3.0,0.0,250,1910.0,1.0,0,1,64.0,0,0,0,1,1
457,750000,4,2.0,0.0,174,1953.0,3.0,0,0,0.0,1,0,1,1,0
459,790000,3,2.0,0.0,155,1934.0,1.0,0,0,0.0,1,0,1,1,1
460,473000,2,2.0,0.0,97,2003.0,5.0,0,0,0.0,0,0,0,0,1
461,599000,3,2.0,0.0,127,1900.0,3.0,1,0,8.0,1,0,1,1,0
466,1990000,3,2.0,0.0,140,2000.0,2.0,0,0,8.0,1,1,1,1,0
477,545000,3,2.0,0.0,95,1890.0,3.0,0,0,0.0,0,0,1,1,0
485,335000,3,1.0,0.0,80,1970.0,5.0,0,0,0.0,1,0,1,1,0
493,1485000,6,3.0,0.0,208,1900.0,3.0,0,0,5.0,0,0,0,1,0
494,370000,3,1.0,0.0,74,1969.0,4.0,0,0,0.0,1,0,1,1,1
497,1200000,2,2.0,1.0,149,1886.0,1.0,1,0,0.0,1,0,1,1,1
501,699000,3,2.0,0.0,106,2019.0,3.0,0,0,0.0,1,0,1,1,0
502,1225000,6,3.0,0.0,260,1940.0,7.0,1,1,0.0,1,0,1,1,1
506,795000,3,3.0,0.0,112,2001.0,1.0,0,0,120.0,1,0,1,0,1
508,330000,3,1.0,1.0,75,1930.0,1.0,0,0,0.0,1,0,1,1,0
509,995000,4,2.0,0.0,187,1900.0,5.0,0,1,0.0,1,0,1,1,0
510,2550000,4,3.0,0.0,230,1890.0,2.0,0,0,20.0,1,0,1,1,1
512,590000,2,2.0,0.0,64,2019.0,2.0,0,0,0.0,1,1,1,1,0
514,1080000,3,2.0,0.0,189,1936.0,4.0,0,1,0.0,1,0,1,1,1
516,795000,3,2.0,0.0,162,2011.0,2.0,0,0,64.0,1,0,1,1,1
517,1395000,3,4.0,0.0,249,1900.0,4.0,0,0,0.0,1,0,1,1,0
518,650000,3,2.0,0.0,112,2002.0,4.0,0,0,13.0,1,1,1,1,0
525,425000,2,2.0,0.0,77,2010.0,1.0,0,0,0.0,1,0,0,1,0
527,1245000,3,2.0,0.0,146,1879.0,1.0,0,0,0.0,1,0,1,1,1
528,640000,6,3.0,0.0,160,1900.0,3.0,0,0,10.0,1,0,0,1,1
532,2200000,7,1.0,0.0,215,1920.0,3.0,0,0,0.0,0,0,1,0,1
539,745000,3,3.0,0.0,136,1926.0,2.0,1,0,0.0,1,0,1,1,0
541,395000,3,1.0,0.0,83,1926.0,2.0,0,0,0.0,1,0,0,1,0
555,485000,4,2.0,0.0,115,1936.0,4.0,0,0,0.0,1,0,0,1,1
558,949000,5,3.0,0.0,283,1945.0,3.0,0,0,0.0,0,0,0,1,1
559,498000,5,2.0,0.0,150,1947.0,1.0,0,0,20.0,0,0,1,1,0
560,425000,3,2.0,0.0,130,1885.0,2.0,0,0,0.0,1,0,0,0,1
561,545000,3,2.0,0.0,107,1900.0,2.0,0,0,0.0,1,0,0,1,1
562,475000,3,1.0,0.0,90,1900.0,3.0,0,1,30.0,1,0,1,1,0
564,1850000,3,3.0,0.0,174,1887.0,4.0,0,0,0.0,1,0,1,1,1
569,425000,3,2.0,0.0,130,1885.0,2.0,0,0,0.0,1,0,0,0,1
572,485000,4,2.0,0.0,115,1936.0,4.0,0,0,0.0,1,0,0,1,1
573,425000,3,2.0,0.0,130,1885.0,2.0,0,0,0.0,1,0,0,0,1
576,1775000,3,3.0,0.0,195,1987.0,6.0,0,0,60.0,1,1,1,1,1
577,575000,3,1.0,1.0,116,1972.0,7.0,0,0,58.0,0,0,1,0,1
579,1975000,4,3.0,1.0,225,1930.0,3.0,1,0,0.0,1,0,1,1,1
587,1290000,2,2.0,0.0,165,1964.0,5.0,0,0,30.0,1,0,1,1,1
588,1400000,4,1.0,1.0,180,1900.0,1.0,0,0,0.0,1,0,0,1,0
589,500000,3,1.0,0.0,101,1894.0,1.0,0,0,0.0,0,0,0,1,1
591,425000,3,2.0,0.0,130,1885.0,2.0,0,0,0.0,1,0,0,0,1
594,990000,5,2.0,0.0,192,1936.0,1.0,0,0,8.0,0,0,0,1,1
596,750000,4,2.0,0.0,140,1900.0,1.0,1,0,0.0,1,0,0,1,1
601,699000,3,2.0,0.0,107,1900.0,2.0,1,0,4.0,1,0,1,1,1
602,640000,3,2.0,0.0,100,1926.0,4.0,0,1,0.0,1,0,1,1,1
604,1600000,6,3.0,0.0,238,1907.0,2.0,0,1,0.0,1,0,1,1,1
609,1250000,4,4.0,0.0,248,1945.0,5.0,1,0,0.0,1,0,1,1,1
610,897000,5,3.0,0.0,233,1945.0,2.0,0,0,0.0,1,0,1,1,1
611,375000,3,1.0,1.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
613,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
615,1570000,3,3.0,0.0,139,1942.0,4.0,1,0,0.0,1,0,1,1,1
618,978000,10,2.0,0.0,262,1918.0,3.0,0,0,0.0,1,0,1,1,0
623,375000,3,2.0,0.0,85,1973.0,4.0,0,0,0.0,1,0,0,1,1
624,1485000,6,3.0,0.0,208,1900.0,3.0,0,0,5.0,0,0,0,1,0
625,960000,6,2.0,0.0,310,1920.0,4.0,1,1,0.0,1,0,1,1,0
